"Province.State","Country.Region","Lat","Long","date","cases","type"
"","El Salvador",13.7942,-88.8965,2020-02-13,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-14,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-15,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-16,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-17,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-18,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-19,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-20,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-21,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-22,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-23,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-24,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-26,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-27,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-28,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-29,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-01,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-02,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-03,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-04,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-05,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-06,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-07,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-08,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-09,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-10,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-11,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-12,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-13,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-14,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-15,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-16,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-17,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-18,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-19,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-20,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-21,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-22,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-23,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-24,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-26,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-27,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-28,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-29,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-30,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-31,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-01,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-02,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-03,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-04,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-05,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-06,3,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-07,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-08,4,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-09,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-10,1,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-11,4,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-12,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-13,1,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-14,3,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-15,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-16,3,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-17,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-18,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-19,1,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-20,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-21,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-22,15,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-23,4,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-24,8,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-26,8,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-27,6,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-28,8,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-29,9,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-30,13,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-01,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-02,17,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-03,13,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-04,26,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-05,25,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-06,14,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-07,33,"recovered"
